MEDIDAS	TIME_PERIOD	TERRITORIO	SEXO	OBS_VALUE	CONFIDENCIALIDAD_OBSERVACION	NOTAS_OBSERVACION	ESTADO_OBSERVACION	ESTADO_OBSERVACION_CODE
Población	2021	Canarias	Total	2172944				
Población. Variación anual	2021	Canarias	Total	-3008				
Población. Tasa de variación anual	2021	Canarias	Total	-0.14				
Población. Proporción	2021	Canarias	Total	100				
Población	2020	Canarias	Total	2175952				
Población. Variación anual	2020	Canarias	Total	22563				
Población. Tasa de variación anual	2020	Canarias	Total	1.05				
Población. Proporción	2020	Canarias	Total	100				
Población	2019	Canarias	Total	2153389				
Población. Variación anual	2019	Canarias	Total	25704				
Población. Tasa de variación anual	2019	Canarias	Total	1.21				
Población. Proporción	2019	Canarias	Total	100				
Población	2018	Canarias	Total	2127685				
Población. Variación anual	2018	Canarias	Total	19564				
Población. Tasa de variación anual	2018	Canarias	Total	0.93				
Población. Proporción	2018	Canarias	Total	100				
Población	2017	Canarias	Total	2108121				
Población. Variación anual	2017	Canarias	Total	6197				
Población. Tasa de variación anual	2017	Canarias	Total	0.29				
Población. Proporción	2017	Canarias	Total	100				
Población	2016	Canarias	Total	2101924				
Población. Variación anual	2016	Canarias	Total	1618				
Población. Tasa de variación anual	2016	Canarias	Total	0.08				
Población. Proporción	2016	Canarias	Total	100				
Población	2015	Canarias	Total	2100306				
Población. Variación anual	2015	Canarias	Total	-4509				
Población. Tasa de variación anual	2015	Canarias	Total	-0.21				
Población. Proporción	2015	Canarias	Total	100				
Población	2014	Canarias	Total	2104815				
Población. Variación anual	2014	Canarias	Total	-13864				
Población. Tasa de variación anual	2014	Canarias	Total	-0.65				
Población. Proporción	2014	Canarias	Total	100				
Población	2013	Canarias	Total	2118679				
Población. Variación anual	2013	Canarias	Total	335				
Población. Tasa de variación anual	2013	Canarias	Total	0.02				
Población. Proporción	2013	Canarias	Total	100				
Población	2012	Canarias	Total	2118344				
Población. Variación anual	2012	Canarias	Total	-8425				
Población. Tasa de variación anual	2012	Canarias	Total	-0.4				
Población. Proporción	2012	Canarias	Total	100				
Población	2011	Canarias	Total	2126769				
Población. Variación anual	2011	Canarias	Total	8250				
Población. Tasa de variación anual	2011	Canarias	Total	0.39				
Población. Proporción	2011	Canarias	Total	100				
Población	2010	Canarias	Total	2118519				
Población. Variación anual	2010	Canarias	Total	14527				
Población. Tasa de variación anual	2010	Canarias	Total	0.69				
Población. Proporción	2010	Canarias	Total	100				
Población	2009	Canarias	Total	2103992				
Población. Variación anual	2009	Canarias	Total	28024				
Población. Tasa de variación anual	2009	Canarias	Total	1.35				
Población. Proporción	2009	Canarias	Total	100				
Población	2008	Canarias	Total	2075968				
Población. Variación anual	2008	Canarias	Total	50017				
Población. Tasa de variación anual	2008	Canarias	Total	2.47				
Población. Proporción	2008	Canarias	Total	100				
Población	2007	Canarias	Total	2025951				
Población. Variación anual	2007	Canarias	Total	30118				
Población. Tasa de variación anual	2007	Canarias	Total	1.51				
Población. Proporción	2007	Canarias	Total	100				
Población	2006	Canarias	Total	1995833				
Población. Variación anual	2006	Canarias	Total	27553				
Población. Tasa de variación anual	2006	Canarias	Total	1.4				
Población. Proporción	2006	Canarias	Total	100				
Población	2005	Canarias	Total	1968280				
Población. Variación anual	2005	Canarias	Total	52740				
Población. Tasa de variación anual	2005	Canarias	Total	2.75				
Población. Proporción	2005	Canarias	Total	100				
Población	2004	Canarias	Total	1915540				
Población. Variación anual	2004	Canarias	Total	20672				
Población. Tasa de variación anual	2004	Canarias	Total	1.09				
Población. Proporción	2004	Canarias	Total	100				
Población	2003	Canarias	Total	1894868				
Población. Variación anual	2003	Canarias	Total	51113				
Población. Tasa de variación anual	2003	Canarias	Total	2.77				
Población. Proporción	2003	Canarias	Total	100				
Población	2002	Canarias	Total	1843755				
Población. Variación anual	2002	Canarias	Total	62389				
Población. Tasa de variación anual	2002	Canarias	Total	3.5				
Población. Proporción	2002	Canarias	Total	100				
Población	2001	Canarias	Total	1781366				
Población. Variación anual	2001	Canarias	Total	65090				
Población. Tasa de variación anual	2001	Canarias	Total	3.79				
Población. Proporción	2001	Canarias	Total	100				
Población	2000	Canarias	Total	1716276				
Población. Variación anual	2000	Canarias	Total	43587				
Población. Tasa de variación anual	2000	Canarias	Total	2.61				
Población. Proporción	2000	Canarias	Total	100				
Población	1999	Canarias	Total	1672689				
Población. Variación anual	1999	Canarias	Total	42674				
Población. Tasa de variación anual	1999	Canarias	Total	2.62				
Población. Proporción	1999	Canarias	Total	100				
Población	1998	Canarias	Total	1630015				
Población. Variación anual	1998	Canarias	Total				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Canarias	Total				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Canarias	Total	100				
Población	1996	Canarias	Total	1606534				
Población. Variación anual	1996	Canarias	Total				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Canarias	Total				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Canarias	Total	100				
Población	2021	Canarias	Hombres	1074180				
Población. Variación anual	2021	Canarias	Hombres	-2005				
Población. Tasa de variación anual	2021	Canarias	Hombres	-0.19				
Población. Proporción	2021	Canarias	Hombres	100				
Población	2020	Canarias	Hombres	1076185				
Población. Variación anual	2020	Canarias	Hombres	10214				
Población. Tasa de variación anual	2020	Canarias	Hombres	0.96				
Población. Proporción	2020	Canarias	Hombres	100				
Población	2019	Canarias	Hombres	1065971				
Población. Variación anual	2019	Canarias	Hombres	11939				
Población. Tasa de variación anual	2019	Canarias	Hombres	1.13				
Población. Proporción	2019	Canarias	Hombres	100				
Población	2018	Canarias	Hombres	1054032				
Población. Variación anual	2018	Canarias	Hombres	8919				
Población. Tasa de variación anual	2018	Canarias	Hombres	0.85				
Población. Proporción	2018	Canarias	Hombres	100				
Población	2017	Canarias	Hombres	1045113				
Población. Variación anual	2017	Canarias	Hombres	2275				
Población. Tasa de variación anual	2017	Canarias	Hombres	0.22				
Población. Proporción	2017	Canarias	Hombres	100				
Población	2016	Canarias	Hombres	1042838				
Población. Variación anual	2016	Canarias	Hombres	-365				
Población. Tasa de variación anual	2016	Canarias	Hombres	-0.03				
Población. Proporción	2016	Canarias	Hombres	100				
Población	2015	Canarias	Hombres	1043203				
Población. Variación anual	2015	Canarias	Hombres	-3170				
Población. Tasa de variación anual	2015	Canarias	Hombres	-0.3				
Población. Proporción	2015	Canarias	Hombres	100				
Población	2014	Canarias	Hombres	1046373				
Población. Variación anual	2014	Canarias	Hombres	-8929				
Población. Tasa de variación anual	2014	Canarias	Hombres	-0.85				
Población. Proporción	2014	Canarias	Hombres	100				
Población	2013	Canarias	Hombres	1055302				
Población. Variación anual	2013	Canarias	Hombres	-938				
Población. Tasa de variación anual	2013	Canarias	Hombres	-0.09				
Población. Proporción	2013	Canarias	Hombres	100				
Población	2012	Canarias	Hombres	1056240				
Población. Variación anual	2012	Canarias	Hombres	-5351				
Población. Tasa de variación anual	2012	Canarias	Hombres	-0.5				
Población. Proporción	2012	Canarias	Hombres	100				
Población	2011	Canarias	Hombres	1061591				
Población. Variación anual	2011	Canarias	Hombres	2885				
Población. Tasa de variación anual	2011	Canarias	Hombres	0.27				
Población. Proporción	2011	Canarias	Hombres	100				
Población	2010	Canarias	Hombres	1058706				
Población. Variación anual	2010	Canarias	Hombres	6070				
Población. Tasa de variación anual	2010	Canarias	Hombres	0.58				
Población. Proporción	2010	Canarias	Hombres	100				
Población	2009	Canarias	Hombres	1052636				
Población. Variación anual	2009	Canarias	Hombres	12499				
Población. Tasa de variación anual	2009	Canarias	Hombres	1.2				
Población. Proporción	2009	Canarias	Hombres	100				
Población	2008	Canarias	Hombres	1040137				
Población. Variación anual	2008	Canarias	Hombres	24644				
Población. Tasa de variación anual	2008	Canarias	Hombres	2.43				
Población. Proporción	2008	Canarias	Hombres	100				
Población	2007	Canarias	Hombres	1015493				
Población. Variación anual	2007	Canarias	Hombres	14099				
Población. Tasa de variación anual	2007	Canarias	Hombres	1.41				
Población. Proporción	2007	Canarias	Hombres	100				
Población	2006	Canarias	Hombres	1001394				
Población. Variación anual	2006	Canarias	Hombres	13164				
Población. Tasa de variación anual	2006	Canarias	Hombres	1.33				
Población. Proporción	2006	Canarias	Hombres	100				
Población	2005	Canarias	Hombres	988230				
Población. Variación anual	2005	Canarias	Hombres	27572				
Población. Tasa de variación anual	2005	Canarias	Hombres	2.87				
Población. Proporción	2005	Canarias	Hombres	100				
Población	2004	Canarias	Hombres	960658				
Población. Variación anual	2004	Canarias	Hombres	10499				
Población. Tasa de variación anual	2004	Canarias	Hombres	1.1				
Población. Proporción	2004	Canarias	Hombres	100				
Población	2003	Canarias	Hombres	950159				
Población. Variación anual	2003	Canarias	Hombres	26806				
Población. Tasa de variación anual	2003	Canarias	Hombres	2.9				
Población. Proporción	2003	Canarias	Hombres	100				
Población	2002	Canarias	Hombres	923353				
Población. Variación anual	2002	Canarias	Hombres	32804				
Población. Tasa de variación anual	2002	Canarias	Hombres	3.68				
Población. Proporción	2002	Canarias	Hombres	100				
Población	2001	Canarias	Hombres	890549				
Población. Variación anual	2001	Canarias	Hombres	35650				
Población. Tasa de variación anual	2001	Canarias	Hombres	4.17				
Población. Proporción	2001	Canarias	Hombres	100				
Población	2000	Canarias	Hombres	854899				
Población. Variación anual	2000	Canarias	Hombres	23192				
Población. Tasa de variación anual	2000	Canarias	Hombres	2.79				
Población. Proporción	2000	Canarias	Hombres	100				
Población	1999	Canarias	Hombres	831707				
Población. Variación anual	1999	Canarias	Hombres	23615				
Población. Tasa de variación anual	1999	Canarias	Hombres	2.92				
Población. Proporción	1999	Canarias	Hombres	100				
Población	1998	Canarias	Hombres	808092				
Población. Variación anual	1998	Canarias	Hombres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Canarias	Hombres				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Canarias	Hombres	100				
Población	1996	Canarias	Hombres	797230				
Población. Variación anual	1996	Canarias	Hombres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Canarias	Hombres				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Canarias	Hombres	100				
Población	2021	Canarias	Mujeres	1098764				
Población. Variación anual	2021	Canarias	Mujeres	-1003				
Población. Tasa de variación anual	2021	Canarias	Mujeres	-0.09				
Población. Proporción	2021	Canarias	Mujeres	100				
Población	2020	Canarias	Mujeres	1099767				
Población. Variación anual	2020	Canarias	Mujeres	12349				
Población. Tasa de variación anual	2020	Canarias	Mujeres	1.14				
Población. Proporción	2020	Canarias	Mujeres	100				
Población	2019	Canarias	Mujeres	1087418				
Población. Variación anual	2019	Canarias	Mujeres	13765				
Población. Tasa de variación anual	2019	Canarias	Mujeres	1.28				
Población. Proporción	2019	Canarias	Mujeres	100				
Población	2018	Canarias	Mujeres	1073653				
Población. Variación anual	2018	Canarias	Mujeres	10645				
Población. Tasa de variación anual	2018	Canarias	Mujeres	1				
Población. Proporción	2018	Canarias	Mujeres	100				
Población	2017	Canarias	Mujeres	1063008				
Población. Variación anual	2017	Canarias	Mujeres	3922				
Población. Tasa de variación anual	2017	Canarias	Mujeres	0.37				
Población. Proporción	2017	Canarias	Mujeres	100				
Población	2016	Canarias	Mujeres	1059086				
Población. Variación anual	2016	Canarias	Mujeres	1983				
Población. Tasa de variación anual	2016	Canarias	Mujeres	0.19				
Población. Proporción	2016	Canarias	Mujeres	100				
Población	2015	Canarias	Mujeres	1057103				
Población. Variación anual	2015	Canarias	Mujeres	-1339				
Población. Tasa de variación anual	2015	Canarias	Mujeres	-0.13				
